iter	Accuracy	MultiClass
0	0.8411971831	0.9799788948
1	0.8438967136	0.889875499
2	0.8463615023	0.817760825
3	0.845657277	0.7539972208
4	0.8492957746	0.7028818974
5	0.8502347418	0.6568938271
6	0.855399061	0.6188470328
7	0.8624413146	0.5827766516
8	0.8645539906	0.5529020489
9	0.8642018779	0.5276361251
10	0.8657276995	0.5022316833
11	0.8677230047	0.4804303367
12	0.8698356808	0.4611078971
13	0.8746478873	0.4412753172
14	0.8771126761	0.42731796
15	0.8779342723	0.4104518606
16	0.878286385	0.397188573
17	0.8801643192	0.3858586097
18	0.8816901408	0.3745667774
19	0.8835680751	0.3638460018
20	0.8852112676	0.3547633915
21	0.8863849765	0.3473935227
22	0.8868544601	0.3387865483
23	0.8901408451	0.3271423193
24	0.8917840376	0.3164579807
25	0.8922535211	0.309572759
26	0.8927230047	0.3047641196
27	0.894600939	0.2987357752
28	0.8962441315	0.2928488714
29	0.8964788732	0.2875241844
30	0.8992957746	0.2811115603
31	0.9002347418	0.2782997588
32	0.9016431925	0.2731917091
33	0.9041079812	0.2680425348
34	0.905399061	0.2640256239
35	0.9058685446	0.261723776
36	0.9055164319	0.2596672218
37	0.9078638498	0.2552268176
38	0.9080985915	0.2520109957
39	0.9116197183	0.2474623588
40	0.9127934272	0.243041027
41	0.9143192488	0.2385374932
42	0.9165492958	0.2357451092
43	0.9166666667	0.2335659777
44	0.917370892	0.2322980768
45	0.9178403756	0.229068316
46	0.9210093897	0.2251007089
47	0.9225352113	0.2220088544
48	0.9228873239	0.2206318077
49	0.9252347418	0.2170591072
50	0.9251173709	0.2155150201
51	0.9264084507	0.2133616643
52	0.9267605634	0.2121752182
53	0.9281690141	0.2090095548
54	0.9296948357	0.2061465177
55	0.9308685446	0.2050152938
56	0.9308685446	0.2037918782
57	0.9319248826	0.2011394217
58	0.9327464789	0.2000059867
59	0.9335680751	0.1990814076
60	0.9348591549	0.1966580539
61	0.9355633803	0.1957400575
62	0.9375586854	0.1937880184
63	0.9374413146	0.192912436
64	0.9384976526	0.1909701812
65	0.9396713615	0.189067596
66	0.9399061033	0.1870945308
67	0.9404929577	0.1856051448
68	0.9409624413	0.1845344806
69	0.9414319249	0.1837111439
70	0.9411971831	0.1832852706
71	0.9429577465	0.1816773852
72	0.9427230047	0.1807198902
73	0.9431924883	0.1798543642
74	0.9431924883	0.1791715736
75	0.9431924883	0.178202919
76	0.9435446009	0.1762358851
77	0.9437793427	0.1749069015
78	0.9440140845	0.1743961539
79	0.9442488263	0.1738150942
80	0.9444835681	0.1735528583
81	0.9442488263	0.1727687607
82	0.9441314554	0.1723110911
83	0.9442488263	0.1716298324
84	0.9453051643	0.1700158069
85	0.9458920188	0.1684901259
86	0.9458920188	0.1678644074
87	0.9463615023	0.1665967555
88	0.9468309859	0.1649163773
89	0.9470657277	0.1639810885
90	0.9469483568	0.1633539176
91	0.9474178404	0.162377983
92	0.9481220657	0.1615291172
93	0.9484741784	0.1611113994
94	0.9484741784	0.1603499534
95	0.9485915493	0.159873903
96	0.9484741784	0.1596275426
97	0.9490610329	0.158518726
98	0.9498826291	0.157769284
99	0.9498826291	0.1573398541
100	0.95	0.1571491131
101	0.9501173709	0.1560233219
102	0.9502347418	0.1557346105
103	0.9507042254	0.1548248802
104	0.9509389671	0.1541901769
105	0.951056338	0.1537621734
106	0.9514084507	0.1534533506
107	0.9512910798	0.1531935796
108	0.9514084507	0.1529191411
109	0.9518779343	0.1525929632
110	0.9516431925	0.1521377238
111	0.9515258216	0.1515156648
112	0.9512910798	0.1511695032
113	0.9512910798	0.1508563673
114	0.9519953052	0.1493901675
115	0.9524647887	0.1484970319
116	0.9526995305	0.1478400727
117	0.9528169014	0.1467841376
118	0.9529342723	0.1459553157
119	0.9535211268	0.1449052085
120	0.9535211268	0.1445985325
121	0.9539906103	0.1442562375
122	0.9541079812	0.1439936348
123	0.9541079812	0.1428871362
124	0.9548122066	0.1423123145
125	0.9551643192	0.1417746371
126	0.9551643192	0.1411623269
127	0.9551643192	0.1404105213
128	0.9552816901	0.1396930309
129	0.9552816901	0.1393417648
130	0.955399061	0.1391334294
131	0.9559859155	0.1386992168
132	0.9563380282	0.1382164353
133	0.9563380282	0.1378605485
134	0.9571596244	0.1366996913
135	0.9572769953	0.1358471792
136	0.9571596244	0.1349969856
137	0.9577464789	0.1347038
138	0.9579812207	0.1344347118
139	0.9579812207	0.1341366006
140	0.9577464789	0.1339045097
141	0.9582159624	0.1334631479
142	0.9585680751	0.1327284486
143	0.9585680751	0.1323976582
144	0.9584507042	0.1315894806
145	0.9584507042	0.1312360658
146	0.9590375587	0.1308946759
147	0.9591549296	0.1307637114
148	0.9592723005	0.1302192602
149	0.959741784	0.1300299277
150	0.9598591549	0.1297495714
151	0.9603286385	0.1294547436
152	0.9603286385	0.1291552672
153	0.9611502347	0.1286488248
154	0.9606807512	0.1279836962
155	0.9606807512	0.1277983703
156	0.960915493	0.127514643
157	0.9611502347	0.1265421947
158	0.9616197183	0.1260801447
159	0.9612676056	0.1256732924
160	0.9618544601	0.1252985178
161	0.9620892019	0.1250012696
162	0.9622065728	0.1247529228
163	0.9625586854	0.1244662866
164	0.9624413146	0.1243446846
165	0.9623239437	0.1238928532
166	0.9625586854	0.1235476995
167	0.9626760563	0.1234455362
168	0.9631455399	0.1232398996
169	0.9629107981	0.1227546292
170	0.9631455399	0.1220404415
171	0.9627934272	0.1216950667
172	0.9627934272	0.1215207185
173	0.9632629108	0.1212946751
174	0.9636150235	0.1207786255
175	0.9637323944	0.1204304799
176	0.9638497653	0.1200604125
177	0.9637323944	0.119762681
178	0.9639671362	0.1195665772
179	0.9639671362	0.1193330645
180	0.9644366197	0.1187840089
181	0.9645539906	0.1184117367
182	0.9647887324	0.1180023925
183	0.9646713615	0.1178140235
184	0.9647887324	0.1171951253
185	0.9647887324	0.1170053794
186	0.9650234742	0.1168178695
187	0.9654929577	0.1166340507
188	0.9653755869	0.1163768403
189	0.9657276995	0.1162676933
190	0.9657276995	0.1161587183
191	0.9657276995	0.1157797769
192	0.9657276995	0.1155123771
193	0.9657276995	0.1153574894
194	0.9659624413	0.1148408729
195	0.9659624413	0.1146515432
196	0.9664319249	0.1144267986
197	0.9665492958	0.1141889756
198	0.9664319249	0.1140046119
199	0.9664319249	0.1137544052
