iter	Passed	Remaining
0	3	789
1	7	726
2	11	725
3	14	714
4	17	694
5	20	678
6	24	679
7	28	682
8	31	671
9	34	662
10	38	660
11	42	658
12	46	661
13	49	659
14	53	660
15	57	661
16	61	658
17	64	653
18	68	648
19	71	647
20	75	647
21	79	642
22	83	639
23	87	641
24	91	641
25	96	642
26	100	642
27	104	640
28	109	645
29	113	641
30	116	635
31	120	630
32	124	629
33	127	623
34	131	618
35	134	613
36	138	611
37	142	608
38	146	603
39	149	599
40	153	596
41	157	592
42	161	588
43	164	584
44	168	581
45	172	578
46	176	575
47	180	571
48	184	568
49	188	565
50	191	560
51	195	556
52	199	552
53	203	549
54	206	545
55	210	541
56	213	536
57	217	532
58	221	528
59	224	524
60	228	521
61	232	517
62	238	517
63	242	514
64	246	511
65	249	507
66	253	502
67	256	498
68	260	494
69	264	491
70	268	488
71	272	484
72	275	480
73	279	476
74	283	472
75	287	468
76	290	464
77	294	461
78	298	457
79	302	453
80	305	449
81	309	445
82	313	442
83	317	439
84	321	435
85	326	432
86	329	427
87	333	424
88	337	420
89	341	416
90	344	412
91	348	408
92	352	405
93	356	401
94	359	397
95	363	393
96	366	389
97	371	387
98	377	385
99	382	382
100	386	379
101	391	375
102	396	373
103	400	369
104	404	366
105	408	362
106	413	359
107	417	355
108	421	351
109	425	347
110	431	345
111	435	341
112	438	337
113	443	334
114	447	330
115	452	327
116	455	323
117	459	319
118	463	315
119	467	311
120	471	307
121	475	303
122	479	299
123	482	295
124	486	292
125	490	287
126	494	284
127	498	280
128	502	276
129	506	272
130	510	269
131	515	265
132	519	261
133	523	257
134	527	254
135	530	249
136	534	245
137	538	241
138	541	237
139	545	233
140	549	229
141	553	226
142	557	222
143	560	218
144	564	214
145	568	210
146	572	206
147	575	202
148	579	198
149	583	194
150	587	190
151	591	186
152	595	182
153	598	178
154	603	175
155	607	171
156	610	167
157	614	163
158	618	159
159	622	155
160	625	151
161	629	147
162	633	143
163	636	139
164	640	135
165	643	131
166	647	127
167	651	124
168	655	120
169	658	116
170	663	112
171	668	108
172	672	104
173	676	101
174	680	97
175	684	93
176	687	89
177	691	85
178	695	81
179	698	77
180	702	73
181	706	69
182	709	65
183	713	62
184	716	58
185	720	54
186	724	50
187	727	46
188	731	42
189	734	38
190	738	34
191	742	30
192	746	27
193	749	23
194	753	19
195	757	15
196	761	11
197	764	7
198	768	3
199	771	0
